Fecha,Producto,Región,Ventas
2023-01-16,E,Sur,60
2023-01-16,B,Oeste,43
2023-01-16,A,Norte,104
2023-01-16,C,Norte,52
2023-01-17,A,Este,37
2023-01-17,C,Centro,54
2023-01-17,D,Norte,12
2023-01-17,A,Sur,46
2023-01-17,D,Oeste,20
2023-01-17,A,Sur,74
2023-01-18,B,Oeste,71
2023-01-18,C,Oeste,41
2023-01-18,E,Norte,52
2023-01-18,E,Sur,41
2023-01-18,D,Norte,64
2023-01-18,E,Este,26
2023-01-19,E,Sur,27
2023-01-19,A,Oeste,39
2023-01-19,E,Norte,67
2023-01-20,E,Norte,69
2023-01-20,C,Oeste,23
2023-01-20,B,Centro,62
2023-01-20,A,Centro,48
2023-01-20,C,Centro,14
2023-01-20,A,Sur,58
2023-01-20,A,Centro,83
2023-01-20,A,Norte,64
2023-01-21,D,Oeste,56
2023-01-21,C,Este,28
2023-01-21,C,Centro,27
2023-01-22,D,Norte,49
2023-01-22,E,Centro,25
2023-01-22,D,Norte,55
2023-01-22,D,Este,18
2023-01-22,B,Sur,61
2023-01-22,E,Oeste,55
2023-01-22,B,Norte,42
2023-01-22,E,Este,73
2023-01-22,B,Sur,64
2023-01-23,A,Sur,78
2023-01-23,D,Centro,54
2023-01-23,B,Centro,58
2023-01-24,E,Centro,33
2023-01-24,D,Sur,42
2023-01-24,E,Este,21
2023-01-24,B,Norte,82
2023-01-24,C,Sur,67
2023-01-24,B,Centro,30
2023-01-24,C,Norte,36
2023-01-24,A,Este,64
2023-01-24,A,Centro,72
2023-01-25,B,Sur,24
2023-01-25,D,Oeste,38
2023-01-25,E,Este,34
2023-01-25,D,Este,26
2023-01-25,E,Sur,10
2023-01-25,D,Oeste,10
2023-01-25,D,Norte,50
2023-01-25,A,Este,43
2023-01-25,C,Oeste,48
2023-01-25,E,Oeste,57
2023-01-25,B,Oeste,72
2023-01-26,D,Sur,10
2023-01-26,A,Sur,75
2023-01-26,B,Oeste,31
2023-01-26,D,Norte,42
2023-01-26,C,Centro,46
2023-01-26,E,Oeste,55
2023-01-26,B,Oeste,50
2023-01-26,E,Centro,37
2023-01-27,B,Este,82
2023-01-27,E,Norte,76
2023-01-27,C,Centro,10
2023-01-27,E,Oeste,34
2023-01-27,C,Oeste,66
2023-01-27,E,Sur,10
2023-01-27,B,Oeste,85
2023-01-28,A,Sur,44
2023-01-28,E,Sur,59
2023-01-28,A,Centro,33
2023-01-29,E,Centro,35
2023-01-29,E,Norte,26
2023-01-29,C,Centro,23
2023-01-29,B,Centro,61
2023-01-29,E,Oeste,55
2023-01-29,C,Norte,52
2023-01-29,A,Este,39
2023-01-29,A,Este,38
2023-01-29,E,Oeste,10
2023-01-29,E,Centro,51
2023-01-29,C,Oeste,11
2023-01-30,E,Sur,47
2023-01-30,C,Sur,16
2023-01-30,D,Este,40
2023-01-30,D,Centro,18
2023-01-30,C,Este,73
2023-01-31,E,Sur,49
2023-01-31,B,Sur,56
2023-01-31,D,Sur,21
2023-01-31,D,Oeste,22
2023-01-31,B,Centro,37
2023-01-31,B,Este,42
2023-01-31,B,Norte,28
2023-02-01,B,Centro,75
2023-02-01,D,Centro,56
2023-02-01,A,Sur,50
2023-02-01,A,Oeste,70
2023-02-01,B,Sur,29
2023-02-01,E,Centro,47
2023-02-01,C,Este,16
2023-02-01,B,Centro,87
2023-02-01,C,Oeste,46
2023-02-01,B,Este,26
2023-02-02,D,Este,34
2023-02-02,B,Centro,17
2023-02-02,A,Centro,41
2023-02-02,B,Sur,72
2023-02-02,E,Oeste,10
2023-02-02,A,Este,79
2023-02-02,B,Sur,48
2023-02-03,E,Este,45
2023-02-03,B,Norte,54
2023-02-03,C,Sur,51
2023-02-03,C,Sur,67
2023-02-03,B,Oeste,34
2023-02-03,B,Centro,56
2023-02-03,A,Norte,34
2023-02-03,B,Centro,61
2023-02-03,B,Este,26
2023-02-03,D,Norte,41
2023-02-04,A,Sur,64
2023-02-04,A,Oeste,78
2023-02-04,D,Centro,48
2023-02-04,E,Este,20
2023-02-04,E,Centro,68
2023-02-04,E,Este,45
2023-02-04,C,Norte,71
2023-02-04,A,Centro,36
2023-02-05,B,Oeste,22
2023-02-05,B,Norte,58
2023-02-05,B,Norte,45
2023-02-05,A,Norte,95
2023-02-06,D,Norte,56
2023-02-06,B,Sur,87
2023-02-06,E,Centro,24
2023-02-06,A,Centro,30
2023-02-06,B,Oeste,82
2023-02-07,B,Norte,64
2023-02-07,E,Oeste,34
2023-02-07,E,Centro,62
2023-02-07,C,Norte,59
2023-02-08,D,Oeste,64
2023-02-08,C,Norte,37
2023-02-08,E,Este,62
2023-02-08,C,Norte,47
2023-02-08,C,Oeste,18
2023-02-08,A,Este,60
2023-02-08,C,Sur,10
2023-02-08,B,Este,74
2023-02-08,E,Oeste,51
2023-02-08,A,Oeste,63
2023-02-09,D,Oeste,16
2023-02-09,A,Norte,93
2023-02-09,C,Oeste,15
2023-02-09,E,Sur,53
2023-02-09,E,Norte,10
2023-02-09,B,Norte,77
2023-02-09,C,Norte,29
2023-02-10,B,Centro,68
2023-02-10,C,Sur,25
2023-02-10,D,Norte,52
2023-02-10,A,Oeste,85
2023-02-10,D,Oeste,34
2023-02-10,B,Centro,41
2023-02-10,C,Este,39
2023-02-11,A,Norte,72
2023-02-11,B,Oeste,53
2023-02-11,B,Oeste,49
2023-02-11,A,Norte,49
2023-02-11,B,Oeste,73
2023-02-11,A,Este,31
2023-02-11,B,Este,42
2023-02-12,A,Oeste,52
2023-02-12,E,Centro,10
2023-02-12,D,Centro,26
2023-02-12,B,Oeste,87
2023-02-12,B,Centro,30
2023-02-12,B,Este,89
2023-02-12,C,Norte,70
2023-02-12,A,Norte,34
2023-02-12,A,Centro,67
2023-02-13,C,Norte,57
2023-02-13,E,Centro,16
2023-02-13,D,Sur,10
2023-02-13,B,Norte,32
2023-02-13,B,Norte,98
2023-02-13,E,Norte,85
2023-02-13,D,Este,10
2023-02-14,D,Este,37
2023-02-14,C,Sur,52
2023-02-14,B,Centro,72
2023-02-14,A,Oeste,56
2023-02-14,C,Sur,37
2023-02-14,A,Sur,64
2023-02-14,A,Norte,98
2023-02-14,B,Oeste,69
2023-02-14,C,Oeste,47
2023-02-15,A,Este,31
2023-02-15,A,Sur,18
2023-02-15,C,Oeste,60
2023-02-15,A,Este,54
2023-02-15,B,Este,79
2023-02-15,D,Centro,13
2023-02-15,B,Sur,61
2023-02-15,D,Oeste,35
2023-02-16,D,Norte,37
2023-02-16,B,Sur,14
2023-02-16,D,Este,14
2023-02-16,C,Oeste,54
2023-02-16,C,Este,32
2023-02-16,E,Sur,38
2023-02-16,A,Oeste,58
2023-02-16,A,Este,32
2023-02-16,D,Sur,15
2023-02-16,C,Sur,26
2023-02-16,C,Este,28
2023-02-17,A,Este,85
2023-02-17,C,Oeste,19
2023-02-17,A,Centro,64
2023-02-18,C,Oeste,67
2023-02-18,A,Sur,29
2023-02-18,A,Centro,75
2023-02-18,C,Oeste,43
2023-02-18,C,Oeste,24
2023-02-18,A,Oeste,54
2023-02-18,C,Este,10
2023-02-18,A,Sur,15
2023-02-19,C,Norte,47
2023-02-19,C,Este,62
2023-02-19,A,Oeste,92
2023-02-19,B,Norte,58
2023-02-20,C,Este,27
2023-02-20,A,Este,72
2023-02-20,B,Sur,17
2023-02-20,A,Oeste,45
2023-02-20,D,Centro,50
2023-02-20,D,Oeste,25
2023-02-21,C,Oeste,61
2023-02-21,C,Sur,36
2023-02-21,C,Oeste,43
2023-02-21,D,Este,71
2023-02-21,C,Norte,61
2023-02-21,D,Centro,57
2023-02-22,E,Centro,47
2023-02-22,C,Centro,39
2023-02-22,B,Sur,58
2023-02-22,C,Norte,19
2023-02-22,B,Sur,28
2023-02-22,E,Este,58
2023-02-23,B,Sur,85
2023-02-23,B,Oeste,69
2023-02-23,A,Centro,59
2023-02-23,B,Norte,33
2023-02-24,E,Sur,67
2023-02-24,C,Norte,48
2023-02-24,A,Oeste,43
2023-02-24,C,Sur,49
2023-02-24,E,Sur,68
2023-02-24,D,Sur,26
2023-02-24,C,Oeste,44
2023-02-24,A,Centro,40
2023-02-24,D,Oeste,40
2023-02-24,D,Sur,46
2023-02-24,A,Centro,69
2023-02-24,B,Oeste,41
2023-02-25,B,Centro,31
2023-02-25,A,Oeste,64
2023-02-25,E,Sur,27
2023-02-25,A,Oeste,91
2023-02-25,D,Este,27
2023-02-26,A,Este,62
2023-02-26,B,Norte,70
2023-02-26,C,Oeste,63
2023-02-26,A,Centro,72
2023-02-26,A,Oeste,86
2023-02-27,B,Centro,59
2023-02-27,B,Centro,53
2023-02-27,C,Este,46
2023-02-27,C,Oeste,17
2023-02-27,A,Este,83
2023-02-27,B,Norte,42
2023-02-27,A,Sur,37
2023-02-28,A,Oeste,63
2023-02-28,A,Este,56
2023-02-28,B,Este,69
2023-02-28,B,Oeste,81
2023-02-28,E,Oeste,35
2023-02-28,A,Norte,82
2023-03-01,E,Centro,17
2023-03-01,D,Este,41
2023-03-01,B,Norte,91
2023-03-01,B,Centro,40
2023-03-02,D,Sur,56
2023-03-02,A,Centro,45
2023-03-02,A,Norte,82
2023-03-02,A,Sur,83
2023-03-03,E,Centro,71
2023-03-03,C,Sur,44
2023-03-03,A,Este,49
2023-03-03,E,Norte,37
2023-03-04,E,Sur,42
2023-03-04,C,Centro,63
2023-03-04,C,Este,12
2023-03-04,A,Sur,28
2023-03-05,E,Centro,34
2023-03-06,D,Centro,60
2023-03-06,B,Sur,71
2023-03-06,A,Sur,86
2023-03-06,C,Este,67
2023-03-06,C,Este,11
2023-03-06,E,Oeste,69
2023-03-06,E,Oeste,51
2023-03-06,A,Norte,102
2023-03-06,D,Sur,28
2023-03-06,A,Centro,56
2023-03-06,B,Sur,32
2023-03-06,E,Norte,49
2023-03-07,E,Sur,20
2023-03-07,A,Centro,68
2023-03-07,C,Oeste,70
2023-03-07,B,Centro,58
2023-03-08,D,Centro,43
2023-03-08,B,Centro,31
2023-03-08,C,Este,72
2023-03-08,D,Este,39
2023-03-08,A,Este,67
2023-03-09,C,Norte,76
2023-03-09,C,Oeste,80
2023-03-09,B,Este,33
2023-03-09,E,Norte,53
2023-03-09,A,Sur,72
2023-03-09,B,Este,100
2023-03-09,C,Norte,66
2023-03-09,B,Oeste,51
2023-03-09,A,Este,37
2023-03-10,B,Oeste,72
2023-03-10,A,Sur,37
2023-03-10,E,Centro,70
2023-03-10,E,Oeste,29
2023-03-11,E,Centro,74
2023-03-11,A,Este,39
2023-03-11,E,Centro,25
2023-03-11,C,Este,74
2023-03-11,B,Sur,35
2023-03-11,D,Norte,43
2023-03-11,A,Norte,58
2023-03-12,D,Este,49
2023-03-12,E,Sur,34
2023-03-12,C,Oeste,31
2023-03-12,E,Sur,63
2023-03-12,B,Norte,81
2023-03-13,D,Norte,70
2023-03-13,B,Norte,92
2023-03-13,B,Este,92
2023-03-13,C,Norte,66
2023-03-13,A,Norte,95
2023-03-13,B,Norte,54
2023-03-13,C,Oeste,53
2023-03-13,E,Sur,24
2023-03-14,C,Sur,48
2023-03-14,D,Centro,50
2023-03-14,B,Oeste,63
2023-03-14,B,Este,55
2023-03-15,A,Sur,70
2023-03-15,E,Oeste,33
2023-03-15,C,Sur,57
2023-03-15,A,Sur,60
2023-03-16,B,Norte,83
2023-03-16,D,Sur,53
2023-03-16,B,Oeste,43
2023-03-16,C,Centro,25
2023-03-16,A,Centro,86
2023-03-16,A,Oeste,42
2023-03-16,E,Sur,10
2023-03-16,B,Este,77
2023-03-17,A,Este,32
2023-03-17,E,Este,48
2023-03-17,D,Centro,71
2023-03-17,E,Oeste,12
2023-03-17,D,Oeste,76
2023-03-17,C,Oeste,62
2023-03-17,A,Oeste,79
2023-03-17,E,Sur,70
2023-03-17,B,Oeste,92
2023-03-17,B,Centro,100
2023-03-17,E,Norte,36
2023-03-18,B,Este,38
2023-03-18,A,Norte,89
2023-03-18,E,Este,43
2023-03-18,C,Sur,69
2023-03-18,B,Sur,64
2023-03-18,A,Sur,72
2023-03-19,E,Norte,37
2023-03-19,B,Centro,34
2023-03-19,E,Sur,19
2023-03-19,E,Sur,70
2023-03-19,C,Oeste,12
2023-03-20,C,Oeste,39
2023-03-20,E,Sur,72
2023-03-20,E,Este,37
2023-03-20,A,Sur,84
2023-03-20,E,Sur,32
2023-03-20,A,Norte,109
2023-03-20,B,Este,61
2023-03-20,A,Centro,94
2023-03-20,C,Este,75
2023-03-20,A,Sur,25
2023-03-21,E,Norte,81
2023-03-21,A,Oeste,85
2023-03-21,C,Oeste,32
2023-03-21,B,Centro,58
2023-03-21,C,Sur,39
2023-03-21,C,Centro,64
2023-03-21,E,Sur,20
2023-03-22,D,Centro,46
2023-03-22,D,Oeste,49
2023-03-22,C,Norte,61
2023-03-22,C,Sur,76
2023-03-22,D,Norte,88
2023-03-22,D,Centro,10
2023-03-22,C,Centro,47
2023-03-22,C,Oeste,68
2023-03-22,C,Oeste,42
2023-03-22,D,Centro,26
2023-03-22,C,Este,64
2023-03-22,A,Sur,47
2023-03-23,E,Centro,10
2023-03-23,E,Este,73
2023-03-23,C,Centro,74
2023-03-23,C,Oeste,58
2023-03-23,A,Oeste,96
2023-03-23,B,Sur,61
2023-03-23,A,Sur,70
2023-03-23,C,Oeste,30
2023-03-23,D,Sur,65
2023-03-24,B,Sur,50
2023-03-24,C,Centro,28
2023-03-24,A,Norte,92
2023-03-24,E,Norte,75
2023-03-25,A,Norte,91
2023-03-25,B,Este,54
2023-03-25,B,Sur,81
2023-03-25,B,Norte,46
2023-03-25,A,Oeste,39
2023-03-26,E,Sur,52
2023-03-26,D,Este,13
2023-03-26,C,Sur,10
2023-03-26,E,Norte,47
2023-03-26,B,Norte,43
2023-03-26,E,Sur,64
2023-03-26,D,Norte,29
2023-03-26,B,Centro,39
2023-03-26,A,Norte,45
2023-03-27,C,Sur,11
2023-03-27,E,Norte,70
2023-03-27,B,Este,95
2023-03-27,B,Centro,47
2023-03-27,C,Centro,78
2023-03-27,D,Norte,63
2023-03-27,C,Centro,78
2023-03-27,B,Sur,40
2023-03-27,B,Centro,77
2023-03-28,D,Este,39
2023-03-28,A,Centro,72
2023-03-28,C,Este,61
2023-03-28,E,Sur,74
2023-03-28,A,Este,43
2023-03-28,E,Centro,29
2023-03-28,D,Este,33
2023-03-28,B,Sur,48
2023-03-28,E,Norte,33
2023-03-29,D,Norte,85
2023-03-29,C,Centro,69
2023-03-29,D,Oeste,12
2023-03-29,E,Este,41
2023-03-29,A,Norte,88
2023-03-29,B,Centro,67
2023-03-30,C,Sur,63
2023-03-30,D,Este,79
2023-03-30,E,Oeste,35
2023-03-30,D,Oeste,32
2023-03-30,E,Centro,49
2023-03-31,C,Centro,69
2023-03-31,A,Norte,46
2023-03-31,B,Sur,28
2023-03-31,B,Oeste,83
2023-04-01,B,Centro,85
2023-04-01,A,Norte,59
2023-04-01,E,Oeste,24
2023-04-02,C,Norte,43
2023-04-02,E,Este,28
2023-04-02,B,Este,75
2023-04-02,E,Este,63
2023-04-02,D,Este,54
2023-04-02,E,Norte,86
2023-04-02,E,Sur,65
2023-04-03,E,Sur,59
2023-04-03,B,Sur,77
2023-04-03,D,Este,33
2023-04-03,D,Sur,56
2023-04-03,B,Este,56
2023-04-03,D,Norte,34
2023-04-03,E,Norte,47
2023-04-04,A,Centro,77
2023-04-04,E,Oeste,33
2023-04-04,E,Oeste,17
2023-04-04,B,Norte,59
2023-04-04,A,Centro,88
2023-04-04,A,Norte,69
2023-04-05,A,Sur,35
2023-04-05,D,Norte,36
2023-04-05,D,Norte,65
2023-04-05,B,Norte,42
2023-04-05,C,Norte,48
2023-04-05,E,Oeste,37
2023-04-05,E,Norte,41
2023-04-06,D,Norte,64
2023-04-06,B,Sur,75
2023-04-06,A,Norte,90
2023-04-06,B,Centro,96
2023-04-06,E,Sur,27
2023-04-06,E,Centro,51
2023-04-06,C,Este,52
2023-04-06,D,Norte,77
2023-04-07,C,Este,74
2023-04-07,D,Este,78
2023-04-07,C,Norte,61
2023-04-07,E,Este,12
2023-04-07,A,Oeste,75
2023-04-07,B,Centro,91
2023-04-07,E,Oeste,46
2023-04-07,B,Oeste,44
2023-04-07,D,Norte,33
2023-04-08,E,Este,44
2023-04-08,E,Este,79
2023-04-08,B,Oeste,58
2023-04-08,A,Norte,48
2023-04-08,E,Norte,38
2023-04-09,B,Centro,98
2023-04-09,A,Oeste,90
2023-04-09,A,Este,35
2023-04-09,A,Oeste,100
2023-04-09,D,Oeste,35
2023-04-09,D,Sur,48
2023-04-09,D,Sur,10
2023-04-09,B,Centro,86
2023-04-10,B,Este,93
2023-04-10,B,Oeste,87
2023-04-10,D,Este,55
2023-04-10,A,Sur,71
2023-04-10,B,Sur,40
2023-04-10,C,Norte,75
2023-04-10,A,Este,31
2023-04-10,D,Sur,36
2023-04-10,D,Sur,35
2023-04-10,B,Sur,36
2023-04-10,E,Norte,53
2023-04-10,C,Este,79
2023-04-10,A,Sur,48
2023-04-10,B,Sur,27
2023-04-11,D,Sur,14
2023-04-11,B,Este,80
2023-04-11,C,Este,49
2023-04-11,D,Centro,54
2023-04-11,A,Norte,81
2023-04-11,D,Sur,57
2023-04-11,E,Sur,36
2023-04-11,E,Centro,56
2023-04-11,B,Oeste,82
2023-04-12,E,Norte,64
2023-04-12,B,Este,72
2023-04-12,C,Centro,18
2023-04-12,E,Sur,44
2023-04-12,C,Norte,85
2023-04-12,A,Centro,79
2023-04-12,A,Centro,57
2023-04-13,A,Este,58
2023-04-13,C,Norte,31
2023-04-13,B,Sur,43
2023-04-13,A,Centro,59
2023-04-13,D,Oeste,45
2023-04-13,C,Sur,10
2023-04-13,D,Centro,59
2023-04-13,D,Sur,20
2023-04-14,A,Oeste,59
2023-04-14,C,Sur,77
2023-04-14,D,Este,19
2023-04-14,C,Sur,64
2023-04-14,A,Norte,69
2023-04-14,D,Sur,70
2023-04-14,B,Este,93
2023-04-14,C,Este,43
2023-04-14,B,Norte,90
2023-04-15,B,Centro,37
2023-04-15,A,Centro,50
2023-04-15,B,Sur,91
2023-04-15,A,Centro,77
2023-04-15,E,Centro,38
2023-04-15,B,Este,34
2023-04-15,A,Norte,101
2023-04-15,B,Norte,97
2023-04-15,D,Norte,87
2023-04-16,C,Norte,89
2023-04-16,E,Este,23
2023-04-16,E,Este,19
2023-04-16,A,Norte,103
2023-04-16,B,Norte,112
2023-04-16,A,Centro,76
2023-04-16,E,Centro,49
2023-04-16,A,Norte,53
2023-04-16,E,Oeste,39
2023-04-16,D,Norte,64
2023-04-17,A,Este,82
2023-04-17,E,Centro,37
2023-04-17,E,Norte,87
2023-04-17,B,Centro,85
2023-04-17,A,Oeste,94
2023-04-17,E,Oeste,37
2023-04-17,C,Centro,29
2023-04-17,B,Este,44
2023-04-18,B,Norte,107
2023-04-18,B,Sur,34
2023-04-18,C,Oeste,29
2023-04-19,E,Este,20
2023-04-19,E,Este,68
2023-04-19,A,Centro,85
2023-04-19,A,Norte,71
2023-04-19,B,Sur,36
2023-04-19,E,Norte,59
2023-04-19,E,Oeste,57
2023-04-19,C,Sur,12
2023-04-19,D,Sur,31
2023-04-19,E,Centro,23
2023-04-20,D,Norte,80
2023-04-20,B,Sur,67
2023-04-20,A,Este,47
2023-04-20,B,Sur,58
2023-04-20,D,Norte,90
2023-04-20,B,Centro,58
2023-04-20,B,Este,63
2023-04-20,A,Norte,41
2023-04-20,C,Oeste,71
2023-04-20,A,Norte,81
2023-04-20,B,Norte,68
2023-04-20,B,Oeste,75
2023-04-21,D,Sur,53
2023-04-21,C,Sur,74
2023-04-21,C,Norte,75
2023-04-21,C,Centro,67
2023-04-21,D,Sur,10
2023-04-21,C,Centro,47
2023-04-21,C,Este,35
2023-04-22,A,Sur,37
2023-04-22,C,Norte,24
2023-04-22,A,Sur,41
2023-04-22,A,Oeste,55
2023-04-22,A,Sur,28
2023-04-22,D,Centro,20
2023-04-22,A,Sur,88
2023-04-23,A,Norte,54
2023-04-23,B,Norte,101
2023-04-23,A,Oeste,85
2023-04-23,C,Sur,19
2023-04-24,D,Centro,67
2023-04-24,B,Sur,86
2023-04-24,E,Este,19
2023-04-24,D,Sur,14
2023-04-24,D,Centro,25
2023-04-25,D,Sur,68
2023-04-25,C,Este,40
2023-04-25,A,Sur,30
2023-04-25,A,Este,54
2023-04-25,E,Centro,25
2023-04-25,C,Norte,41
2023-04-26,D,Sur,20
2023-04-26,B,Oeste,39
2023-04-26,D,Oeste,41
2023-04-26,C,Oeste,75
2023-04-26,D,Oeste,15
2023-04-26,D,Oeste,31
2023-04-26,B,Norte,80
2023-04-27,D,Oeste,71
2023-04-27,D,Norte,41
2023-04-27,A,Sur,40
2023-04-27,E,Oeste,32
2023-04-27,D,Centro,36
2023-04-27,D,Sur,27
2023-04-28,A,Norte,72
2023-04-28,B,Centro,36
2023-04-28,B,Norte,78
2023-04-28,D,Norte,36
2023-04-28,E,Sur,69
2023-04-28,A,Sur,87
2023-04-28,D,Norte,81
2023-04-28,D,Centro,34
2023-04-28,D,Norte,58
2023-04-29,A,Norte,38
2023-04-29,D,Norte,76
2023-04-29,D,Norte,82
2023-04-29,B,Este,69
2023-04-29,E,Oeste,58
2023-04-29,C,Sur,40
2023-04-29,E,Este,72
2023-04-29,D,Este,68
2023-04-29,A,Este,77
2023-04-29,E,Este,26
2023-04-30,C,Norte,73
2023-04-30,B,Centro,92
2023-04-30,D,Centro,54
2023-04-30,C,Este,65
2023-04-30,B,Sur,79
2023-04-30,A,Oeste,80
2023-04-30,E,Norte,61
2023-05-01,B,Este,83
2023-05-01,C,Sur,27
2023-05-01,A,Oeste,46
2023-05-01,B,Norte,94
2023-05-01,D,Norte,31
2023-05-01,E,Este,77
2023-05-01,B,Este,44
2023-05-01,C,Este,71
2023-05-01,C,Este,57
2023-05-02,D,Oeste,80
2023-05-02,A,Sur,79
2023-05-02,B,Sur,51
2023-05-02,B,Oeste,72
2023-05-02,B,Sur,65
2023-05-02,D,Este,30
2023-05-02,B,Centro,88
2023-05-02,E,Centro,62
2023-05-02,D,Este,61
2023-05-03,D,Oeste,60
2023-05-03,E,Norte,58
2023-05-03,E,Sur,31
2023-05-03,B,Este,48
2023-05-03,D,Norte,73
2023-05-03,A,Sur,59
2023-05-03,A,Este,61
2023-05-03,D,Norte,56
2023-05-03,B,Este,93
2023-05-04,C,Sur,38
2023-05-04,E,Centro,27
2023-05-04,C,Sur,61
2023-05-04,D,Sur,70
2023-05-04,E,Este,26
2023-05-04,D,Sur,65
2023-05-04,A,Centro,54
2023-05-04,B,Sur,33
2023-05-04,B,Oeste,34
2023-05-04,E,Este,36
2023-05-04,E,Sur,29
2023-05-04,D,Sur,28
2023-05-05,A,Oeste,93
2023-05-05,E,Centro,70
2023-05-05,B,Sur,38
2023-05-05,B,Oeste,86
2023-05-05,C,Oeste,71
2023-05-05,B,Sur,86
2023-05-06,D,Este,77
2023-05-06,D,Norte,52
2023-05-06,D,Oeste,54
2023-05-06,E,Este,18
2023-05-06,D,Este,62
2023-05-06,D,Oeste,73
2023-05-06,B,Norte,94
2023-05-06,C,Oeste,73
2023-05-07,A,Oeste,69
2023-05-07,D,Norte,74
2023-05-07,B,Centro,69
2023-05-07,E,Oeste,15
2023-05-07,A,Este,100
2023-05-07,D,Oeste,65
2023-05-08,D,Norte,89
2023-05-08,D,Centro,30
2023-05-08,E,Centro,10
2023-05-08,D,Oeste,62
2023-05-09,A,Norte,69
2023-05-09,B,Centro,46
2023-05-09,B,Oeste,37
2023-05-09,D,Norte,45
2023-05-09,C,Centro,78
2023-05-10,A,Sur,69
2023-05-10,E,Centro,59
2023-05-10,E,Centro,38
2023-05-11,C,Norte,70
2023-05-11,E,Norte,82
2023-05-11,E,Centro,13
2023-05-11,D,Centro,66
2023-05-11,A,Este,76
2023-05-11,C,Centro,55
2023-05-11,E,Sur,11
2023-05-11,B,Norte,94
2023-05-12,A,Oeste,77
2023-05-12,D,Centro,31
2023-05-12,E,Oeste,37
2023-05-13,E,Centro,25
2023-05-13,E,Norte,27
2023-05-13,B,Centro,97
2023-05-13,B,Norte,76
2023-05-13,D,Centro,39
2023-05-13,E,Centro,12
2023-05-13,A,Este,82
2023-05-13,E,Centro,73
2023-05-14,B,Este,85
2023-05-14,A,Oeste,44
2023-05-14,B,Norte,69
2023-05-14,E,Oeste,50
2023-05-14,B,Este,63
2023-05-14,E,Oeste,53
2023-05-15,B,Sur,55
2023-05-15,B,Sur,89
2023-05-15,B,Norte,104
2023-05-15,E,Sur,13
2023-05-15,C,Este,56
2023-05-15,A,Este,70
2023-05-15,E,Centro,15
